               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11331,            0.020217,            0.037725,          0.00086698,             0.30152,          0.00066272,          0.00010311,            0.066618,           0.0036596,            0.023201,             0.00022,             0.00022,             0.09802
                   1,              0.1036,            0.021934,            0.036656,            0.001118,            0.037879,          0.00065578,          0.00011536,             0.06099,            0.003687,            0.022453,          0.00044557,          0.00044557,            0.095946
                   2,            0.098875,            0.026917,            0.035141,           0.0035903,            0.030303,           0.0019034,          0.00034059,            0.057272,           0.0038098,            0.021443,          0.00065354,          0.00065354,            0.093854
                   3,            0.094546,            0.026321,            0.034023,           0.0096705,             0.10606,           0.0065691,           0.0018405,            0.053589,             0.00387,             0.01992,          0.00083179,          0.00083179,            0.091732
                   4,            0.090054,            0.028576,            0.032274,            0.015674,             0.18939,            0.010246,           0.0025757,            0.049992,           0.0039276,            0.018615,          0.00097026,          0.00097026,             0.08957
                   5,            0.086025,            0.029417,            0.030783,           0.0082469,             0.11364,           0.0062831,           0.0015279,            0.049705,           0.0038822,            0.018454,           0.0010617,           0.0010617,            0.087362
                   6,            0.082008,            0.027759,            0.030016,             0.35261,            0.098485,            0.012869,           0.0027846,            0.047822,           0.0038632,            0.017098,           0.0011025,           0.0011025,            0.085102
                   7,            0.079199,            0.031101,            0.027644,             0.35045,             0.15909,            0.013291,           0.0046265,             0.04419,           0.0039539,            0.017286,           0.0010926,           0.0010926,            0.082793
                   8,             0.07425,            0.026298,            0.027162,             0.68701,             0.18024,            0.015614,           0.0042953,            0.041452,           0.0041661,            0.016122,           0.0010361,           0.0010361,            0.080436
                   9,            0.072034,            0.027873,            0.027091,             0.70276,             0.14394,            0.026169,            0.010285,            0.039045,           0.0042929,            0.015613,          0.00094106,          0.00094106,            0.078041
                  10,            0.070202,            0.029091,            0.026142,             0.70436,             0.17424,            0.029177,           0.0084852,            0.039131,           0.0044249,            0.015233,            0.000819,            0.000819,            0.075619
                  11,            0.066293,            0.028097,             0.02552,              0.7133,             0.16667,             0.03652,            0.021932,            0.035111,           0.0043592,            0.014115,          0.00068445,          0.00068445,            0.073184
                  12,            0.065232,            0.027825,             0.02481,             0.71843,             0.15152,            0.041133,            0.021796,             0.03355,            0.004437,            0.013975,          0.00055411,          0.00055411,            0.070754
                  13,            0.064718,            0.026131,            0.025428,             0.71942,             0.16667,            0.041032,            0.019933,            0.033917,           0.0045683,            0.013692,          0.00044588,          0.00044588,            0.068346
                  14,            0.064045,            0.027609,            0.024857,               0.719,             0.15097,            0.041152,            0.023819,             0.03269,           0.0044756,            0.013803,          0.00037783,          0.00037783,            0.065978
